date_time,price,ma7,ma21,26ema,12ema,MACD,20sd,upper_band,lower_band,ema,momentum,has_tweets,num_tweets,case_ratio,compound_score,pos,neu,neg,sentiment_class,pred_classes,pred_classes_int,total_favorite_count,total_retweet_count
2018-02-13 13:30:00,107.18,107.7920408163265,112.5638095238095,111.08593066030927,109.6740170597953,-1.411913600513941,3.738881242365586,120.04157200854065,105.08604703907831,107.1660830897995,100.18,0,0.0,0.0,0.0,0.0,0.0,0.0,1,neg,0,0.0,0.0
2018-02-13 14:30:00,107.58,107.69183673469385,112.52027210884351,111.04761447822816,109.62474607015311,-1.4228684080750469,3.7603945550530313,120.04106121894958,104.99948299873743,107.44202769659985,100.58,0,0.0,0.0,0.0,0.0,0.0,0.0,1,neg,0,0.0,0.0
2018-02-13 15:30:00,107.74,107.599387755102,112.47782312925169,111.01146568611514,109.58039910379655,-1.4310665823186213,3.7795982177442937,120.03701956474028,104.91862669376309,107.64067589886659,100.74,0,0.0,0.0,0.0,0.0,0.0,0.0,1,neg,0,0.0,0.0
2018-02-14 09:30:00,107.04,107.51734693877545,112.42707482993194,110.9680616895442,109.52062500723663,-1.4474366823075826,3.8043727369834084,120.03582030389879,104.81832935596516,107.24022529962221,100.04,0,0.0,0.0,0.0,0.0,0.0,0.0,1,neg,0,0.0,0.0
2018-02-14 10:30:00,107.84,107.43877551020405,112.38204081632652,110.93387522299074,109.48108088941929,-1.4527943335714326,3.8213874321359182,120.02481568059835,104.7392659520547,107.64007509987408,100.84,0,0.0,0.0,0.0,0.0,0.0,0.0,1,neg,0,0.0,0.0
2018-02-14 11:30:00,108.02,107.36816326530612,112.33986394557823,110.90202959213741,109.44670251555063,-1.4553270765867694,3.835790783562535,120.0114455127033,104.66828237845316,107.89335836662468,101.02,0,0.0,0.0,0.0,0.0,0.0,0.0,1,neg,0,0.0,0.0
2018-02-14 12:30:00,108.02,107.30897959183672,112.29809523809523,110.87053200096553,109.41313304459648,-1.4573989563690333,3.849048330079517,119.99619189825428,104.5999985779362,107.97778612220823,101.02,0,0.0,0.0,0.0,0.0,0.0,0.0,1,neg,0,0.0,0.0
2018-02-14 13:30:00,108.02,107.2673469387755,112.25666666666666,110.83937864576276,109.38035344354715,-1.4590252022155994,3.86149814301933,119.97966295270531,104.533670380628,108.00592870740276,101.02,0,0.0,0.0,0.0,0.0,0.0,0.0,1,neg,0,0.0,0.0
2018-02-14 14:30:00,108.57,107.244693877551,112.22217687074829,110.81457669334931,109.361286303699,-1.4532903896503202,3.868404750472071,119.95898637169243,104.48536736980415,108.38197623580092,101.57,0,0.0,0.0,0.0,0.0,0.0,0.0,1,neg,0,0.0,0.0
2018-02-14 15:30:00,108.86,107.24530612244897,112.18897959183671,110.7932151994323,109.34949133184723,-1.4437238675850494,3.8730622187978567,119.93510402943242,104.442855154241,108.70065874526699,101.86,0,0.0,0.0,0.0,0.0,0.0,0.0,1,neg,0,0.0,0.0
2018-02-15 09:30:00,109.54,107.3377551020408,112.15938775510205,110.7795188584545,109.35397388874495,-1.4255449697095486,3.8748362900154047,119.90906033513285,104.40971517507124,109.26021958175566,102.54,0,0.0,0.0,0.0,0.0,0.0,0.0,1,neg,0,0.0,0.0
2018-02-15 10:30:00,109.28,107.3867346938775,112.12884353741495,110.76313067420864,109.35223332665684,-1.4108973475517956,3.877542440146818,119.88392841770859,104.37375865712131,109.27340652725191,102.28,0,0.0,0.0,0.0,0.0,0.0,0.0,1,neg,0,0.0,0.0
2018-02-15 11:30:00,109.06,107.44122448979587,112.09544217687073,110.74451722421672,109.34535724838257,-1.3991599758341806,3.8814766707983215,119.85839551846738,104.33248883527409,109.13113550908396,102.06,0,0.0,0.0,0.0,0.0,0.0,0.0,1,neg,0,0.0,0.0
