date_time_index,Date,Time,BidOpen,BidHigh,BidLow,BidClose,AskOpen,AskHigh,AskLow,AskClose,date_time_index,filled_timebin,price,ma7,ma21,26ema,12ema,MACD,20sd,upper_band,lower_band,ema,momentum
2017-02-08 12:30:00,02/08/2017,12:30,96.88,96.88,96.88,96.88,96.89,96.89,96.89,96.89,2017-02-08 12:30:00,False,96.88,96.7965306122448,96.73952380952376,96.78193788357461,96.86306116641013,0.08112328283552017,0.4534743063913541,97.64647242230647,95.83257519674105,96.88953227272306,89.88
2017-02-08 13:30:00,02/08/2017,13:30,96.97,96.98,96.97,96.98,96.98,96.99,96.98,96.99,2017-02-08 13:30:00,False,96.98,96.81183673469378,96.73891156462581,96.78415081757701,96.86581336191338,0.08166254433636766,0.4528898813225983,97.644691327271,95.83313180198061,96.94984409090769,89.98
2017-02-08 14:30:00,02/08/2017,14:30,96.95,96.96,96.95,96.96,96.96,96.97,96.96,96.97,2017-02-08 14:30:00,False,96.96,96.823469387755,96.74054421768703,96.78611508882243,96.8680300635555,0.08191497473306697,0.4532591750350136,97.64706256775706,95.834025867617,96.95661469696923,89.96
2017-02-08 15:30:00,02/08/2017,15:30,97.03,97.05,97.03,97.03,97.04,97.06,97.04,97.04,2017-02-08 15:30:00,False,97.03,96.8373469387754,96.74149659863942,96.78883867599471,96.87184203680494,0.08300336081022408,0.4538560153078499,97.64920862925511,95.83378456802372,97.00553823232308,90.03
2017-02-09 09:30:00,02/09/2017,09:30,97.22,97.22,97.22,97.22,97.28,97.31,97.28,97.31,2017-02-09 09:30:00,False,97.22,96.8538775510203,96.74578231292513,96.7936525260354,96.88003591133787,0.0863833853024687,0.4556156401078363,97.6570135931408,95.83455103270946,97.14851274410769,90.22
2017-02-09 10:30:00,02/09/2017,10:30,97.59,97.62,97.59,97.62,97.6,97.63,97.6,97.63,2017-02-09 10:30:00,False,97.62,96.88122448979581,96.75163265306118,96.80287639304682,96.89745082084134,0.09457442779452663,0.4601493121988147,97.67193127745881,95.83133402866355,97.46283758136923,90.62
2017-02-09 11:30:00,02/09/2017,11:30,97.83,97.83,97.83,97.83,97.84,97.84,97.84,97.84,2017-02-09 11:30:00,False,97.83,96.91448979591826,96.76088435374146,96.81433869253766,96.91939806429134,0.10505937175368274,0.4672797391002212,97.6954438319419,95.82632487554102,97.70761252712309,90.83
2017-02-09 12:30:00,02/09/2017,12:30,97.72,97.72,97.71,97.72,97.73,97.73,97.72,97.73,2017-02-09 12:30:00,False,97.72,96.94244897959173,96.7676870748299,96.8244431894731,96.9382398728225,0.11379668334940618,0.4734977543030128,97.71468258343592,95.82069156622387,97.71587084237437,90.72
2017-02-09 13:30:00,02/09/2017,13:30,97.76,97.76,97.76,97.76,97.77,97.77,97.77,97.77,2017-02-09 13:30:00,False,97.76,96.97122448979582,96.77707482993195,96.83487885153082,96.95757953050209,0.12270067897127035,0.48024854390835287,97.73757191774865,95.81657774211524,97.74529028079145,90.76
2017-02-09 14:30:00,02/09/2017,14:30,97.79,97.79,97.79,97.79,97.8,97.8,97.8,97.8,2017-02-09 14:30:00,False,97.79,97.00224489795906,96.78421768707481,96.84553034161685,96.97716997493613,0.1316396333192813,0.48759785694011254,97.75941340095504,95.80902197319459,97.77509676026382,90.79
